Component,Part,Qty,Approx cost (GBP),Part ID
Microcontroller,"ESP32-S3 1.47"" Touch Display Dev Board with SD Slot",1,15.4,WAV-31199
CO2 sensor,Senseair K30 FR,1,44.9,030-8-0010
Level shifter,"Pololu Logic Level Shifter - 4-Channel, Bidirectional",1,3.4,POL-2595
SD card,"microSD (any, FAT32 formatted)",1,10,e.g. SP016GBSTHBU1V10SP
Enclosure,3D printed (PLA),1,2,-
Fixings,M2 x 8 mm,4,0.6,-
Wiring,24 AWG hook up wire (~50 cm),1,0.85,e.g. RS: 207-5308
Power cable,"Male USB Type A to Male, USB 2.0 USB Type C, Black, 2 m",1,4.08,e.g. RS: 895-0499
Power supply,"Ansmann 12 W USB Adapter AC/DC Adapter UK 5V dc Output, 2.4 A",1,7.5,e.g. ANSMANN: 1001-0105-520
Total,-,-,88.73,-
